watching,0.22812676
rat,Infinity
race,0.90309
last,0.0
week,Infinity
noticed,0.19398385
my,0.118622474
cheeks,Infinity
sore,Infinity
realized,0.0
laughing,0.0
aloud,Infinity
had,0.9508616
held,0.0
grin,Infinity
virtually,Infinity
film's,0.3279256
112,Infinity
minutes,0.541854
saturday,0.0
night,0.541854
attended,Infinity
sneak,Infinity
preview,0.0
movie,0.22329296
damned,Infinity
didn't,0.401869
enjoy,0.0
second,0.16380078
time,0.06432598
first,0.2757556
rat,Infinity
race,0.90309
goofy,Infinity
delight,Infinity
dandy,Infinity
mix,0.11974343
energetic,Infinity
performances,1.0583184
inspired,Infinity
sight,0.31372723
gags,Infinity
flat,0.13970065
silliness,Infinity
hands,0.0
down,0.26359963
fun,0.40584853
film,0.039833248
summer,Infinity
movie,0.22329296
begins,0.7056548
zippy,Infinity
retro,Infinity
style,0.20960082
opening,0.28354418
credits,0.34787017
look,0.0
like,0.021857554
torn,0.0
straight,Infinity
'60s,Infinity
slapstick,0.11974343
comedy,0.06312365
featuring,Infinity
animated,0.0
photos,Infinity
cast,0.06783701
attached,Infinity
herky,Infinity
jerky,Infinity
bodies,Infinity
bounding,Infinity
around,0.2139284
screen,0.3919275
comes,0.118622474
setup,Infinity
donald,0.0
sinclair,Infinity
john,0.6157974
cleese,Infinity
extremely,0.20960082
rich,Infinity
owner,0.31372723
venetian,Infinity
hotel,0.19398385
casino,Infinity
las,Infinity
vegas,Infinity
enjoys,Infinity
concocting,Infinity
unusual,Infinity
bets,Infinity
rolling,Infinity
clients,Infinity
end,0.5576514
places,0.19398385
half,0.07394338
dozen,Infinity
special,0.2782544
tokens,Infinity
slot,Infinity
machines,Infinity
gathering,Infinity
lucky,Infinity
token,Infinity
holders,Infinity
explains,Infinity
today,Infinity
chance,0.11974343
play,0.13826936
game,0.26614788
odds,Infinity
winning,0.19398385
six,0.0
competition,0.0
simple,0.31372723
contestant,Infinity
gets,0.4870347
key,Infinity
opens,0.20960082
locker,Infinity
silver,Infinity
city,Infinity
n,Infinity
m,Infinity
containing,Infinity
$2,Infinity
million,Infinity
cash,0.19398385
transmitter,Infinity
every,0.05154878
key,Infinity
sinclair,Infinity
cronies,Infinity
keep,0.11974343
track,Infinity
who,0.01564281
