watching,0.38021126
rat,Infinity
race,4.51545
last,0.0
week,Infinity
noticed,0.3233064
my,0.33892137
cheeks,Infinity
sore,Infinity
realized,0.0
laughing,0.0
aloud,Infinity
had,3.5657308
held,0.0
grin,Infinity
virtually,Infinity
film's,0.54654264
112,Infinity
minutes,0.90309
saturday,0.0
night,0.90309
attended,Infinity
sneak,Infinity
preview,0.0
movie,0.99241316
damned,Infinity
didn't,0.6697816
enjoy,0.0
second,0.27300128
time,0.10720996
first,1.0340836
rat,Infinity
race,4.51545
goofy,Infinity
delight,Infinity
dandy,Infinity
mix,0.19957237
energetic,Infinity
performances,3.0237668
inspired,Infinity
sight,0.5228787
gags,Infinity
flat,0.39914474
silliness,Infinity
hands,0.0
down,0.4393327
fun,1.1595672
film,0.06638874
summer,Infinity
movie,0.99241316
begins,1.1760913
zippy,Infinity
retro,Infinity
style,0.3493347
opening,0.47257364
credits,0.5797836
look,0.0
like,0.036429256
torn,0.0
straight,Infinity
'60s,Infinity
slapstick,0.19957237
comedy,0.1803533
featuring,Infinity
animated,0.0
photos,Infinity
cast,0.19382003
attached,Infinity
herky,Infinity
jerky,Infinity
bodies,Infinity
bounding,Infinity
around,0.35654733
screen,0.6532125
comes,0.33892137
setup,Infinity
donald,0.0
sinclair,Infinity
john,1.0263289
cleese,Infinity
extremely,0.3493347
rich,Infinity
owner,0.5228787
venetian,Infinity
hotel,0.3233064
casino,Infinity
las,Infinity
vegas,Infinity
enjoys,Infinity
concocting,Infinity
unusual,Infinity
bets,Infinity
rolling,Infinity
clients,Infinity
end,0.9294189
places,0.3233064
half,0.12323895
dozen,Infinity
special,0.4637573
tokens,Infinity
slot,Infinity
machines,Infinity
gathering,Infinity
lucky,Infinity
token,Infinity
holders,Infinity
explains,Infinity
today,Infinity
chance,0.19957237
play,0.23044893
game,0.7604225
odds,Infinity
winning,0.3233064
six,0.0
competition,0.0
simple,0.5228787
contestant,Infinity
gets,1.8263801
key,Infinity
opens,0.3493347
locker,Infinity
silver,Infinity
city,Infinity
n,Infinity
m,Infinity
containing,Infinity
$2,Infinity
million,Infinity
cash,0.3233064
transmitter,Infinity
every,0.08591463
key,Infinity
sinclair,Infinity
cronies,Infinity
keep,0.19957237
track,Infinity
who,0.058660537
ahead,Infinity
race,4.51545
rules,Infinity
whichever,Infinity
